gene
FXYD2 (486)
CCDC85B (11007)
SLAIN1 (122060)
GPC4 (2239)
TPBG (7162)
CTTN (2017)
PRR15 (222171)
FBN2 (2201)
PNMA2 (10687)
EGFL7 (51162)
KLF4 (9314)
GATA2 (2624)
GPR176 (11245)
UPK3B (105375355)
MT1X (4501)
DDC (1644)
HOXB9 (3219)
NXN (64359)
APOBEC3G (60489)
COTL1 (23406)
TFAP2C (7022)
CXCL2 (2920)
NPAS2 (4862)
DAPK1 (1612)
CDKN1A (1026)
CBR1 (873)
NCF4 (4689)
TNFRSF19 (55504)
SERPINB6 (5269)
PAX8 (7849)
CXCL16 (58191)
TMEM54 (113452)
PDPN (10630)
LAMA1 (284217)
GAS7 (8522)
GBP1 (2633)
ALPP (250)
HDGFL3 (50810)
VASN (114990)
P4HA2 (8974)
ACP5 (54)
MYO1G (64005)
NEFL (4747)
STXBP2 (6813)
TWIST1 (7291)
NEXN (91624)
LRRC17 (10234)
MEIS3 (56917)
TMEM132A (54972)
CBLC (23624)
TFAP2A (7020)
FERMT1 (55612)
MAP7 (9053)
CCL20 (6364)
SULT1A1 (6817)
GFPT2 (9945)
SEPTIN10 (151011)
SLC9A3R2 (9351)
CYP2S1 (29785)
TNFRSF10D (8793)
ISYNA1 (51477)
MX2 (4600)
TENM3 (55714)
PALM (5064)
CD276 (80381)
ACTN1 (87)
TMEM47 (83604)
CPQ (10404)
PLAGL1 (5325)
IFI44L (10964)
CARD11 (84433)
ZNF595 (152687)
ITGB6 (3694)
JUN (3725)
CDKN2B (1030)
RGS1 (5996)
SECTM1 (6398)
GGT1 (2678)
GATA3 (2625)
NDN (4692)
CCL5 (6352)
IGF2BP2 (10644)
OBSL1 (23363)
GNAI1 (2770)
TMEM125 (128218)
DBNDD2 (55861)
FGFR4 (2264)
ARHGEF6 (9459)
EPS8 (2059)
ST6GALNAC2 (10610)
DNAJC12 (56521)
TSPYL5 (85453)
DUSP1 (1843)
CHN1 (1123)
SPATS2L (26010)
FBXO2 (26232)
MAP2 (4133)
HOXA10 (3206)
SLC6A8 (6535)
ME1 (4199)
ELN (2006)
SERPINB7 (8710)
WNT7B (7477)
LYPD3 (27076)
PARVB (29780)
LIPG (9388)
SMIM3 (85027)
CBSL (102724560)
CSPG4 (1464)
SEPTIN5 (5413)
OLFM2 (93145)
RARRES1 (5918)
OLR1 (4973)
HENMT1 (113802)
DTX3 (196403)
SEMA7A (8482)
ALPK2 (115701)
RFLNB (359845)
PSG5 (5673)
ALS2CL (259173)
PLXND1 (23129)
CRABP1 (1381)
RGS16 (6004)
DENND2D (79961)
SLFN13 (146857)
IGF2BP1 (10642)
FGF2 (2247)
ENO2 (2026)
